$ javac .\ProducerConsumer.java
$ java ProducerConsumer 20 10 5


Producer Produced: -333601317
Producer Produced: -1243103741
Producer Produced: 1710450282
Producer Produced: -1219751633
             Consumer consumed: -333601317
Producer Produced: 313502046
             Consumer consumed: -1243103741
Producer Produced: 553079656  
Producer Produced: -1486565026
             Consumer consumed: 1710450282
Producer Produced: 1541277468
             Consumer consumed: -1219751633
Producer Produced: 1920763577
             Consumer consumed: 313502046
Producer Produced: -690388393
             Consumer consumed: 553079656
Producer Produced: -2098541356
             Consumer consumed: -1486565026
Producer Produced: -339478733
             Consumer consumed: 1541277468
Producer Produced: -76995915
             Consumer consumed: 1920763577
Producer Produced: -1943423694
             Consumer consumed: -690388393
Producer Produced: 1195492087
             Consumer consumed: -2098541356
Producer Produced: -1722803047
             Consumer consumed: -339478733
Producer Produced: -921917789
             Consumer consumed: -76995915
Producer Produced: 1816504675
             Consumer consumed: -1943423694
Producer Produced: -425078358
             Consumer consumed: 1195492087
Producer Produced: 343945381
             Consumer consumed: -1722803047
Producer Produced: -1414746893
             Consumer consumed: -921917789
Producer Produced: 1453828845
             Consumer consumed: 1816504675
Producer Produced: -1312893116
             Consumer consumed: -425078358
Producer Produced: 397928082
             Consumer consumed: 343945381
Producer Produced: -124235767
             Consumer consumed: -1414746893
Producer Produced: -104934718
             Consumer consumed: 1453828845
Producer Produced: 875605881
             Consumer consumed: -1312893116
Producer Produced: -464580963
             Consumer consumed: 397928082
Producer Produced: 594381953
             Consumer consumed: -124235767
Producer Produced: -1509740776
             Consumer consumed: -104934718
Producer Produced: 656300155
             Consumer consumed: 875605881
Producer Produced: 1472941968
             Consumer consumed: -464580963
Producer Produced: -1781477482
             Consumer consumed: 594381953
Producer Produced: -633584279
             Consumer consumed: -1509740776
Producer Produced: -1299487793
             Consumer consumed: 656300155
Producer Produced: 1119766116
             Consumer consumed: 1472941968
Producer Produced: -1197736513
             Consumer consumed: -1781477482
Producer Produced: -1034072547
             Consumer consumed: -633584279
Producer Produced: 2053689147
             Consumer consumed: -1299487793
Producer Produced: 862800652
             Consumer consumed: 1119766116
Producer Produced: 1683772069
             Consumer consumed: -1197736513
Producer Produced: 1313206488
             Consumer consumed: -1034072547
Producer Produced: 207618593
             Consumer consumed: 2053689147
Producer Produced: 891720476
             Consumer consumed: 862800652
Producer Produced: -59778731
             Consumer consumed: 1683772069
Producer Produced: -527854784
             Consumer consumed: 1313206488
Producer Produced: 1818752871
             Consumer consumed: 207618593
Producer Produced: 1279764214
             Consumer consumed: 891720476
Producer Produced: 474401976
             Consumer consumed: -59778731
Producer Produced: 541939481
             Consumer consumed: -527854784
Producer Produced: 786363473
             Consumer consumed: 1818752871
Producer Produced: 1515689342
             Consumer consumed: 1279764214
Producer Produced: 1738214953
             Consumer consumed: 474401976
Producer Produced: -1722086717
             Consumer consumed: 541939481
Producer Produced: -670830758
             Consumer consumed: 786363473
Producer Produced: -871661840
             Consumer consumed: 1515689342
Producer Produced: 1333114023
             Consumer consumed: 1738214953
             Consumer consumed: -1722086717
Producer Produced: 832632312
Producer Produced: -1475918071
             Consumer consumed: -670830758
Producer Produced: -1760585768
             Consumer consumed: -871661840
Producer Produced: 826703311
             Consumer consumed: 1333114023
Producer Produced: -578312891
             Consumer consumed: 832632312
Producer Produced: 1862860674
             Consumer consumed: -1475918071
Producer Produced: -1694206172
             Consumer consumed: -1760585768
Producer Produced: 21184793
             Consumer consumed: 826703311
Producer Produced: 1341479442
             Consumer consumed: -578312891
Producer Produced: 1178824222
             Consumer consumed: 1862860674
Producer Produced: 256180733
             Consumer consumed: -1694206172
Producer Produced: -213993738
             Consumer consumed: 21184793
Producer Produced: 480236942
             Consumer consumed: 1341479442
Producer Produced: -664621138
             Consumer consumed: 1178824222
Producer Produced: -499305946
             Consumer consumed: 256180733
Producer Produced: -1368068692
             Consumer consumed: -213993738
Producer Produced: 967935895
             Consumer consumed: 480236942
Producer Produced: -1624375722
             Consumer consumed: -664621138
Producer Produced: 1932536898
             Consumer consumed: -499305946
Producer Produced: -1563035543
             Consumer consumed: -1368068692
Producer Produced: -1391276850
             Consumer consumed: 967935895
Producer Produced: 324468565
             Consumer consumed: -1624375722
Producer Produced: -1138305656
             Consumer consumed: 1932536898
Producer Produced: 1668926257
             Consumer consumed: -1563035543
Producer Produced: 2053797575
             Consumer consumed: -1391276850
Producer Produced: 1033750572
             Consumer consumed: 324468565
Producer Produced: -1092542622
             Consumer consumed: -1138305656
Producer Produced: -2081728566
             Consumer consumed: 1668926257
Producer Produced: 34546342
             Consumer consumed: 2053797575
Producer Produced: 1454881953
             Consumer consumed: 1033750572
Producer Produced: 1172378266
             Consumer consumed: -1092542622
Producer Produced: -1352912155
             Consumer consumed: -2081728566
Producer Produced: 430430908
             Consumer consumed: 34546342
Producer Produced: -1893920220
             Consumer consumed: 1454881953
Producer Produced: 1912662088
             Consumer consumed: 1172378266
Producer Produced: 1306939526
             Consumer consumed: -1352912155
Producer Produced: -1474317590
             Consumer consumed: 430430908
Producer Produced: 1328544209
             Consumer consumed: -1893920220
Producer Produced: -1895647721
             Consumer consumed: 1912662088
Producer Produced: 379236263
             Consumer consumed: 1306939526
Producer Produced: 1109398136
             Consumer consumed: -1474317590
Producer Produced: -931448856
             Consumer consumed: 1328544209
Producer Produced: 714043323
             Consumer consumed: -1895647721
Producer Produced: 1627633300
             Consumer consumed: 379236263
Producer Produced: -775627074
             Consumer consumed: 1109398136
Producer Produced: -744358491
             Consumer consumed: -931448856
Producer Produced: 1349469973
             Consumer consumed: 714043323
Producer Produced: -1307768169
             Consumer consumed: 1627633300
Producer Produced: -322767367
             Consumer consumed: -775627074
Producer Produced: 1793270367
             Consumer consumed: -744358491
Producer Produced: -1320078546
             Consumer consumed: 1349469973
Producer Produced: 1488777664
             Consumer consumed: -1307768169
Producer Produced: 1238626496
             Consumer consumed: -322767367
Producer Produced: -26995235
             Consumer consumed: 1793270367
Producer Produced: -1422054327
             Consumer consumed: -1320078546
Producer Produced: 1309754158
             Consumer consumed: 1488777664
Producer Produced: -874119352
             Consumer consumed: 1238626496
Producer Produced: 1376973300
             Consumer consumed: -26995235
Producer Produced: 1230011786
             Consumer consumed: -1422054327
Producer Produced: -630098212
             Consumer consumed: 1309754158
Producer Produced: 1033216561
             Consumer consumed: -874119352
Producer Produced: -1315390938
             Consumer consumed: 1376973300
Producer Produced: 372287919
             Consumer consumed: 1230011786
Producer Produced: -1368478755
             Consumer consumed: -630098212
Producer Produced: 1358385537
             Consumer consumed: 1033216561
Producer Produced: 334996209
             Consumer consumed: -1315390938
Producer Produced: -1268407974
             Consumer consumed: 372287919
Producer Produced: -1710076352
             Consumer consumed: -1368478755
Producer Produced: -1848413423
             Consumer consumed: 1358385537
Producer Produced: 580205782
